slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_ess_charge_kw,p1_ess_discharge_kw,bl_ess_charge_kw,bl_ess_discharge_kw
265,2025-07-16 18:00:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
266,2025-07-16 18:15:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
267,2025-07-16 18:30:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
268,2025-07-16 18:45:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
269,2025-07-16 19:00:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
270,2025-07-16 19:15:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
271,2025-07-16 19:30:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
272,2025-07-16 19:45:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
273,2025-07-16 20:00:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
274,2025-07-16 20:15:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
275,2025-07-16 20:30:00,2025-07-16,1.28,0.0,300.0,0.0,0.0
276,2025-07-16 20:45:00,2025-07-16,1.28,0.0,48.0,0.0,0.0
277,2025-07-16 21:00:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
278,2025-07-16 21:15:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
279,2025-07-16 21:30:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
280,2025-07-16 21:45:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
281,2025-07-16 22:00:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
282,2025-07-16 22:15:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
283,2025-07-16 22:30:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
284,2025-07-16 22:45:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
285,2025-07-16 23:00:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
286,2025-07-16 23:15:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
287,2025-07-16 23:30:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
288,2025-07-16 23:45:00,2025-07-16,0.72,0.0,0.0,0.0,0.0
289,2025-07-17 00:00:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
290,2025-07-17 00:15:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
291,2025-07-17 00:30:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
292,2025-07-17 00:45:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
293,2025-07-17 01:00:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
294,2025-07-17 01:15:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
295,2025-07-17 01:30:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
296,2025-07-17 01:45:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
297,2025-07-17 02:00:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
298,2025-07-17 02:15:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
299,2025-07-17 02:30:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
300,2025-07-17 02:45:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
301,2025-07-17 03:00:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
302,2025-07-17 03:15:00,2025-07-17,0.42,0.0,0.0,0.0,0.0
303,2025-07-17 03:30:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
304,2025-07-17 03:45:00,2025-07-17,0.42,142.10526,0.0,0.0,0.0
305,2025-07-17 04:00:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
306,2025-07-17 04:15:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
307,2025-07-17 04:30:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
308,2025-07-17 04:45:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
309,2025-07-17 05:00:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
310,2025-07-17 05:15:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
311,2025-07-17 05:30:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
312,2025-07-17 05:45:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
313,2025-07-17 06:00:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
314,2025-07-17 06:15:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
315,2025-07-17 06:30:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
316,2025-07-17 06:45:00,2025-07-17,0.42,300.0,0.0,0.0,0.0
317,2025-07-17 07:00:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
318,2025-07-17 07:15:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
319,2025-07-17 07:30:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
320,2025-07-17 07:45:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
321,2025-07-17 08:00:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
322,2025-07-17 08:15:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
323,2025-07-17 08:30:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
324,2025-07-17 08:45:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
325,2025-07-17 09:00:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
326,2025-07-17 09:15:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
327,2025-07-17 09:30:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
328,2025-07-17 09:45:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
329,2025-07-17 10:00:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
330,2025-07-17 10:15:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
331,2025-07-17 10:30:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
332,2025-07-17 10:45:00,2025-07-17,0.75,0.0,0.0,0.0,0.0
333,2025-07-17 11:00:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
334,2025-07-17 11:15:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
335,2025-07-17 11:30:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
336,2025-07-17 11:45:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
337,2025-07-17 12:00:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
338,2025-07-17 12:15:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
339,2025-07-17 12:30:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
340,2025-07-17 12:45:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
341,2025-07-17 13:00:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
342,2025-07-17 13:15:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
343,2025-07-17 13:30:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
344,2025-07-17 13:45:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
345,2025-07-17 14:00:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
346,2025-07-17 14:15:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
347,2025-07-17 14:30:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
348,2025-07-17 14:45:00,2025-07-17,0.68,0.0,0.0,0.0,0.0
349,2025-07-17 15:00:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
350,2025-07-17 15:15:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
351,2025-07-17 15:30:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
352,2025-07-17 15:45:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
353,2025-07-17 16:00:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
354,2025-07-17 16:15:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
355,2025-07-17 16:30:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
356,2025-07-17 16:45:00,2025-07-17,0.82,0.0,0.0,0.0,0.0
357,2025-07-17 17:00:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
358,2025-07-17 17:15:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
359,2025-07-17 17:30:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
360,2025-07-17 17:45:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
361,2025-07-17 18:00:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
362,2025-07-17 18:15:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
363,2025-07-17 18:30:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
364,2025-07-17 18:45:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
365,2025-07-17 19:00:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
366,2025-07-17 19:15:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
367,2025-07-17 19:30:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
368,2025-07-17 19:45:00,2025-07-17,1.28,0.0,0.0,0.0,0.0
369,2025-07-17 20:00:00,2025-07-17,1.28,0.0,0.0,0.0,0.0
370,2025-07-17 20:15:00,2025-07-17,1.28,0.0,0.0,0.0,0.0
371,2025-07-17 20:30:00,2025-07-17,1.28,0.0,300.0,0.0,0.0
372,2025-07-17 20:45:00,2025-07-17,1.28,0.0,48.0,0.0,0.0
373,2025-07-17 21:00:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
374,2025-07-17 21:15:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
375,2025-07-17 21:30:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
376,2025-07-17 21:45:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
377,2025-07-17 22:00:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
378,2025-07-17 22:15:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
379,2025-07-17 22:30:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
380,2025-07-17 22:45:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
381,2025-07-17 23:00:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
382,2025-07-17 23:15:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
383,2025-07-17 23:30:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
384,2025-07-17 23:45:00,2025-07-17,0.72,0.0,0.0,0.0,0.0
385,2025-07-18 00:00:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
386,2025-07-18 00:15:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
387,2025-07-18 00:30:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
388,2025-07-18 00:45:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
389,2025-07-18 01:00:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
390,2025-07-18 01:15:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
391,2025-07-18 01:30:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
